NumberGroups	NumberGenes	Classification	NumberGenotypes	Sample
42129	100739	Pan-transcriptome	1	0
42129	100739	Hard-Core-transcriptome	1	0
42129	100739	Soft-Core-transcriptome	1	0
0	0	Acc-transcriptome	1	0
0	0	Exc-transcriptome	1	0
50613	116258	Pan-transcriptome	1	1
50613	116258	Hard-Core-transcriptome	1	1
50613	116258	Soft-Core-transcriptome	1	1
0	0	Acc-transcriptome	1	1
0	0	Exc-transcriptome	1	1
50078	136046	Pan-transcriptome	1	2
50078	136046	Hard-Core-transcriptome	1	2
50078	136046	Soft-Core-transcriptome	1	2
0	0	Acc-transcriptome	1	2
0	0	Exc-transcriptome	1	2
50613	116258	Pan-transcriptome	1	3
50613	116258	Hard-Core-transcriptome	1	3
50613	116258	Soft-Core-transcriptome	1	3
0	0	Acc-transcriptome	1	3
0	0	Exc-transcriptome	1	3
35596	135452	Pan-transcriptome	1	4
35596	135452	Hard-Core-transcriptome	1	4
35596	135452	Soft-Core-transcriptome	1	4
0	0	Acc-transcriptome	1	4
0	0	Exc-transcriptome	1	4
40794	113911	Pan-transcriptome	1	5
40794	113911	Hard-Core-transcriptome	1	5
40794	113911	Soft-Core-transcriptome	1	5
0	0	Acc-transcriptome	1	5
0	0	Exc-transcriptome	1	5
51751	122204	Pan-transcriptome	1	6
51751	122204	Hard-Core-transcriptome	1	6
51751	122204	Soft-Core-transcriptome	1	6
0	0	Acc-transcriptome	1	6
0	0	Exc-transcriptome	1	6
51908	133400	Pan-transcriptome	1	7
51908	133400	Hard-Core-transcriptome	1	7
51908	133400	Soft-Core-transcriptome	1	7
0	0	Acc-transcriptome	1	7
0	0	Exc-transcriptome	1	7
0	0	Pan-transcriptome	1	8
0	0	Hard-Core-transcriptome	1	8
0	0	Soft-Core-transcriptome	1	8
0	0	Acc-transcriptome	1	8
0	0	Exc-transcriptome	1	8
35596	135452	Pan-transcriptome	1	9
35596	135452	Hard-Core-transcriptome	1	9
35596	135452	Soft-Core-transcriptome	1	9
0	0	Acc-transcriptome	1	9
0	0	Exc-transcriptome	1	9
26455	107305	Pan-transcriptome	1	10
26455	107305	Hard-Core-transcriptome	1	10
26455	107305	Soft-Core-transcriptome	1	10
0	0	Acc-transcriptome	1	10
0	0	Exc-transcriptome	1	10
51415	123956	Pan-transcriptome	1	11
51415	123956	Hard-Core-transcriptome	1	11
