pan_transcriptome_size	genes_pan	hard_core_transcriptome_size	genes_hard_core	soft_core_transcriptome_size	genes_soft_core	accessory_transcriptome_size	genes_accessory	exclusive_transcriptome_size	genes_exclusive	number_genotypes	n_sample
42255	112813	42255	112813	0	0	0	0	347519	0	1	0
64156	143394	64156	143394	0	0	0	0	325618	0	1	1
132957	377970	132957	377970	0	0	0	0	256817	0	1	2
38885	92212	38885	92212	0	0	0	0	350889	0	1	3
85690	159888	85690	159888	0	0	0	0	304084	0	1	4
132957	377970	132957	377970	0	0	0	0	256817	0	1	5
42007	101726	42007	101726	0	0	0	0	347767	0	1	6
56243	127614	56243	127614	0	0	0	0	333531	0	1	7
61650	201170	61650	201170	0	0	0	0	328124	0	1	8
42007	101726	42007	101726	0	0	0	0	347767	0	1	9
64156	143394	64156	143394	0	0	0	0	325618	0	1	10
57799	131543	57799	131543	0	0	0	0	331975	0	1	11
53661	96534	53661	96534	0	0	0	0	336113	0	1	12
65286	164455	65286	164455	0	0	0	0	324488	0	1	13
64557	114471	64557	114471	0	0	0	0	325217	0	1	14
51178	91075	51178	91075	0	0	0	0	338596	0	1	15
54530	149556	54530	149556	0	0	0	0	335244	0	1	16
51178	91075	51178	91075	0	0	0	0	338596	0	1	17
132957	377970	132957	377970	0	0	0	0	256817	0	1	18
65286	164455	65286	164455	0	0	0	0	324488	0	1	19
93818	246014	28538	143075	0	0	65280	102939	295956	0	2	0
217407	797620	35002	253722	0	0	182405	543898	172367	0	2	1
114615	296830	25513	139719	0	0	89102	157111	275159	0	2	2
80339	333613	30118	216480	0	0	50221	117133	309435	0	2	3
94713	198260	955	4230	0	0	93758	194030	295061	0	2	4
79745	277268	27796	182146	0	0	51949	95122	310029	0	2	5
85979	338112	30109	207049	0	0	55870	131063	303795	0	2	6
76470	251439	25377	159766	0	0	51093	91673	313304	0	2	7
175277	469045	8858	37953	0	0	166419	431092	214497	0	2	8
172337	497866	4668	22125	0	0	167669	475741	217437	0	2	9
71694	238668	24751	142183	0	0	46943	96485	318080	0	2	10
75571	241768	17844	111560	0	0	57727	130208	314203	0	2	11
118369	310251	1701	7746	0	0	116668	302505	271405	0	2	12
114397	309444	25823	148152	0	0	88574	161292	275377	0	2	13
83773	222618	25204	127125	0	0	58569	95493	306001	0	2	14
106042	205883	7175	22246	0	0	98867	183637	283732	0	2	15
192688	920752	93082	614183	0	0	99606	306569	197086	0	2	16
208840	707237	9259	51531	0	0	199581	655706	180934	0	2	17
203566	703799	26482	180586	0	0	177084	523213	186208	0	2	18
79375	293382	21160	148212	0	0	58215	145170	310399	0	2	19
125648	409643	19734	184195	0	0	105914	225448	264126	0	3	0
117237	494053	22562	236611	0	0	94675	257442	272537	0	3	1
118323	466460	22552	219756	0	0	95771	246704	271451	0	3	2
105835	386617	19828	189777	0	0	86007	196840	283939	0	3	3
120299	406716	17984	171168	0	0	102315	235548	269475	0	3	4
109932	376840	16593	163269	0	0	93339	213571	279842	0	3	5
106109	347740	19201	168325	0	0	86908	179415	283665	0	3	6
98130	370211	19791	184256	0	0	78339	185955	291644	0	3	7
222577	783674	3608	27475	0	0	218969	756199	167197	0	3	8
95537	405058	20472	210006	0	0	75065	195052	294237	0	3	9
204756	612439	4778	31749	0	0	199978	580690	185018	0	3	10
222148	798989	1818	15938	0	0	220330	783051	167626	0	3	11
107193	441801	18274	195588	0	0	88919	246213	282581	0	3	12
102040	420996	17493	186945	0	0	84547	234051	287734	0	3	13
142292	441098	717	5554	0	0	141575	435544	247482	0	3	14
133907	360561	1317	7479	0	0	132590	353082	255867	0	3	15
109694	436776	16444	178168	0	0	93250	258608	280080	0	3	16
101777	467351	23238	255336	0	0	78539	212015	287997	0	3	17
111070	368506	20646	177247	0	0	90424	191259	278704	0	3	18
126871	343175	14896	119797	0	0	111975	223378	262903	0	3	19
144911	462287	239	2541	0	0	144672	459746	244863	0	4	0
268245	1332231	3087	37595	0	0	265158	1294636	121529	0	4	1
132892	531604	14287	198564	0	0	118605	333040	256882	0	4	2
240903	990421	17429	242947	0	0	223474	747474	148871	0	4	3
154390	468530	193	2216	0	0	154197	466314	235384	0	4	4
157568	482013	628	4973	0	0	156940	477040	232206	0	4	5
154721	639984	19719	270107	0	0	135002	369877	235053	0	4	6
124505	524692	16637	226045	0	0	107868	298647	265269	0	4	7
153930	462550	201	2293	0	0	153729	460257	235844	0	4	8
136431	515889	18297	216990	0	0	118134	298899	253343	0	4	9
224869	787613	2653	27382	0	0	222216	760231	164905	0	4	10
266671	1333368	930	13008	0	0	265741	1320360	123103	0	4	11
228900	767012	1910	19684	0	0	226990	747328	160874	0	4	12
252460	1004780	1867	20607	0	0	250593	984173	137314	0	4	13
149274	507630	14083	172454	0	0	135191	335176	240500	0	4	14
240920	914956	1450	15979	0	0	239470	898977	148854	0	4	15
116523	591153	17118	262617	0	0	99405	328536	273251	0	4	16
126284	655518	16755	265272	0	0	109529	390246	263490	0	4	17
277460	1641597	1455	22172	0	0	276005	1619425	112314	0	4	18
125542	509579	13670	188160	0	0	111872	321419	264232	0	4	19
246956	1017005	331	5355	0	0	246625	1011650	142818	0	5	0
229588	875439	2009	26546	0	0	227579	848893	160186	0	5	1
249202	944911	298	4187	0	0	248904	940724	140572	0	5	2
173398	628138	176	2936	0	0	173222	625202	216376	0	5	3
147675	719165	16617	285940	0	0	131058	433225	242099	0	5	4
229588	875439	2009	26546	0	0	227579	848893	160186	0	5	5
138250	722377	14594	269284	0	0	123656	453093	251524	0	5	6
