Orthogroups	Group	number_genotypes
42255	All	1
64156	All	1
132957	All	1
38885	All	1
85690	All	1
132957	All	1
42007	All	1
56243	All	1
61650	All	1
42007	All	1
64156	All	1
57799	All	1
53661	All	1
65286	All	1
64557	All	1
51178	All	1
54530	All	1
51178	All	1
132957	All	1
65286	All	1
93818	All	2
217407	All	2
114615	All	2
80339	All	2
94713	All	2
79745	All	2
85979	All	2
76470	All	2
175277	All	2
172337	All	2
71694	All	2
75571	All	2
118369	All	2
114397	All	2
83773	All	2
106042	All	2
192688	All	2
208840	All	2
203566	All	2
79375	All	2
125648	All	3
117237	All	3
118323	All	3
105835	All	3
120299	All	3
109932	All	3
106109	All	3
98130	All	3
222577	All	3
95537	All	3
204756	All	3
222148	All	3
107193	All	3
102040	All	3
142292	All	3
133907	All	3
109694	All	3
101777	All	3
111070	All	3
126871	All	3
144911	All	4
268245	All	4
132892	All	4
240903	All	4
154390	All	4
157568	All	4
154721	All	4
124505	All	4
153930	All	4
136431	All	4
224869	All	4
266671	All	4
228900	All	4
252460	All	4
149274	All	4
240920	All	4
116523	All	4
126284	All	4
277460	All	4
125542	All	4
246956	All	5
229588	All	5
249202	All	5
173398	All	5
147675	All	5
229588	All	5
138250	All	5
234159	All	5
229565	All	5
280166	All	5
147432	All	5
266623	All	5
273751	All	5
234572	All	5
264555	All	5
262057	All	5
133778	All	5
150095	All	5
181840	All	5
144245	All	5
266327	All	6
269241	All	6
266912	All	6
174579	All	6
163686	All	6
278492	All	6
298021	All	6
266394	All	6
296741	All	6
279918	All	6
304006	All	6
274461	All	6
180901	All	6
261337	All	6
266258	All	6
285200	All	6
261008	All	6
275328	All	6
268550	All	6
275328	All	6
280834	All	7
280758	All	7
186512	All	7
159473	All	7
187519	All	7
277109	All	7
149480	All	7
260861	All	7
271638	All	7
307111	All	7
259827	All	7
190106	All	7
238964	All	7
277202	All	7
316100	All	7
179445	All	7
287215	All	7
259729	All	7
305704	All	7
261964	All	7
307784	All	8
295822	All	8
310164	All	8
290072	All	8
268622	All	8
295700	All	8
286931	All	8
273692	All	8
315014	All	8
282531	All	8
262004	All	8
293799	All	8
311555	All	8
284514	All	8
285611	All	8
297430	All	8
276896	All	8
313637	All	8
293360	All	8
319876	All	8
335791	All	9
304095	All	9
226112	All	9
335795	All	9
328274	All	9
289358	All	9
313329	All	9
279230	All	9
290770	All	9
192489	All	9
326944	All	9
277659	All	9
336560	All	9
334753	All	9
305802	All	9
307513	All	9
318530	All	9
300222	All	9
209069	All	9
271188	All	9
230525	All	10
311715	All	10
288478	All	10
339234	All	10
287959	All	10
342231	All	10
331833	All	10
335344	All	10
341599	All	10
282098	All	10
331907	All	10
334406	All	10
336131	All	10
344026	All	10
313640	All	10
331898	All	10
328127	All	10
331941	All	10
306064	All	10
329583	All	10
314441	All	11
349939	All	11
329909	All	11
299530	All	11
305896	All	11
329126	All	11
311797	All	11
293373	All	11
319561	All	11
331889	All	11
340777	All	11
352787	All	11
316931	All	11
337461	All	11
351767	All	11
240972	All	11
322506	All	11
321351	All	11
334877	All	11
301569	All	11
348615	All	12
346265	All	12
347632	All	12
231087	All	12
323311	All	12
294571	All	12
328029	All	12
349725	All	12
330482	All	12
327835	All	12
325786	All	12
330618	All	12
347932	All	12
347460	All	12
227372	All	12
354438	All	12
322184	All	12
353340	All	12
353436	All	12
320372	All	12
374014	All	13
350406	All	13
345255	All	13
314578	All	13
329804	All	13
353626	All	13
328168	All	13
347005	All	13
351929	All	13
362505	All	13
352023	All	13
347541	All	13
309135	All	13
231922	All	13
352563	All	13
360041	All	13
354824	All	13
367844	All	13
360421	All	13
318985	All	13
371314	All	14
321584	All	14
368423	All	14
370305	All	14
319712	All	14
367750	All	14
358695	All	14
357249	All	14
334148	All	14
352620	All	14
345811	All	14
358799	All	14
312757	All	14
364399	All	14
350656	All	14
354451	All	14
360838	All	14
361231	All	14
349840	All	14
354982	All	14
361758	All	15
368858	All	15
375707	All	15
360230	All	15
359165	All	15
376466	All	15
352932	All	15
375597	All	15
357257	All	15
376841	All	15
359788	All	15
379231	All	15
364165	All	15
374837	All	15
360603	All	15
365017	All	15
350177	All	15
354422	All	15
341503	All	15
378768	All	15
347315	All	16
371020	All	16
367432	All	16
373010	All	16
365577	All	16
375745	All	16
374172	All	16
