assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,bases_n,proportion_n,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,weighted,genotype
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/BAZ9504.fasta,238857,301,16602,414474819,1735.2425,0,144272,236,132076,43.75106,832,1801,2552,3454,5094,0.47289,0,0,199273,199273,0.83428,4.13472,36827,0.76412,10141,0.21042,4168,0.08648,1181,0.0245,558,0.01158,211,0.00438,0.117,NA,NA,NA,NA,BAZ9504
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/BTx623.fasta,435834,301,43730,1085802406,2491.32102,0,324584,3510,280456,35.22159,1362,2502,3542,4873,7641,0.463,0,0,355046,355046,0.81464,7.36686,39982,0.82959,36443,0.75616,33953,0.70449,29580,0.61376,27152,0.56338,23852,0.49491,0.68777,NA,NA,NA,NA,BTx623
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/cv.BRS330.fasta,216969,301,16423,262363198,1209.21974,0,91114,96,109741,57.8541,500,1162,1852,2659,4176,0.48265,0,0,111039,111039,0.51177,2.30395,31042,0.64409,760,0.01577,299,0.0062,106,0.0022,69,0.00143,33,0.00068,0.01005,NA,NA,NA,NA,cv.BRS330
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/Della.fasta,279817,301,20111,609617432,2178.629,0,189448,656,155302,35.29201,1128,2301,3238,4323,6394,0.46239,0,0,227344,227344,0.81247,4.71717,37744,0.78315,3338,0.06926,1524,0.03162,666,0.01382,443,0.00919,224,0.00465,0.04373,NA,NA,NA,NA,Della
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/DKS-3707.fasta,172243,301,16686,314848085,1827.92964,0,114408,207,101328,45.44978,958,1823,2512,3406,5178,0.47039,0,0,143334,143334,0.83216,2.97404,32537,0.67511,1355,0.02811,583,0.0121,251,0.00521,154,0.0032,85,0.00176,0.01854,NA,NA,NA,NA,DKS-3707
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/DKS-4420.fasta,166029,301,16738,297734732,1793.26944,0,109020,148,97690,46.13899,937,1790,2471,3344,5067,0.47003,0,0,136767,136767,0.82375,2.83778,32071,0.66544,1294,0.02685,509,0.01056,218,0.00452,131,0.00272,72,0.00149,0.01789,NA,NA,NA,NA,DKS-4420
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/keller.fasta,194276,301,19183,279156297,1436.90573,0,96120,165,85868,44.82913,623,1428,2190,3130,4931,0.46819,0,0,163562,163562,0.84191,3.39375,34697,0.71993,13638,0.28298,8598,0.1784,4462,0.09258,2884,0.05984,1057,0.02193,0.18318,NA,NA,NA,NA,keller
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/M35-1.fasta,240112,301,45374,467695943,1947.82411,0,136797,847,116975,36.31735,866,2215,3261,4452,6776,0.45293,0,0,187028,187028,0.77892,3.88065,34867,0.72346,6666,0.13831,3106,0.06445,1242,0.02577,735,0.01525,334,0.00693,0.07824,NA,NA,NA,NA,M35-1
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/Mota.fasta,199227,301,23180,313487689,1573.5201,0,111556,144,106703,47.17116,725,1621,2336,3178,4750,0.4756,0,0,158842,158842,0.79729,3.29582,35622,0.73912,8188,0.16989,3119,0.06472,827,0.01716,415,0.00861,143,0.00297,0.09537,NA,NA,NA,NA,Mota
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/NSL365694.fasta,4914,301,1212,1918434,390.40171,0,4,0,28,49.58591,314,344,382,435,535,0.40817,0,0,4557,4557,0.92735,0.09455,4363,0.09053,1542,0.032,146,0.00303,12,0.00025,5,1e-04,0,0,0.01508,NA,NA,NA,NA,NSL365694
